model1_name,model2_name,CKA,model1_layers,model2_layers,dataset1_name,dataset2_name
Baseline,GenKowlSub,"tensor([[ 0.0735,  0.0668, -0.1134, -0.0992, -0.1287, -0.0605, -0.1188, -0.0930,
         -0.1109, -0.0630,  0.0000, -0.0797,  0.0732,  0.0817,  0.0669,  0.0696,
          0.0670,  0.0880,  0.0768,  0.0774,  0.0918,  0.1011,  0.1080,  0.1108,
          0.1077,  0.1122,  0.1127,  0.1162,  0.1290,  0.1179,  0.1288,  0.1081]])",['model.layers.10'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[-0.0355,  0.0198,  0.1306,  0.0481,  0.1271,  0.1569,  0.2017, -0.6470,
         -0.1630, -0.1269, -0.0719, -0.0523, -0.0172, -0.0271, -0.0268, -0.0272,
         -0.0268, -0.0261, -0.0256, -0.0243, -0.0226, -0.0228, -0.0214, -0.0222,
         -0.0227, -0.0220, -0.0235, -0.0197, -0.0121, -0.0027,  0.0182,  0.0570]])",['model.layers.11'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[ 2.6727e-02,  5.2223e-02,  1.1071e-02,  4.9605e-09,  5.1350e-02,
         -2.6669e-02, -5.9950e-02, -2.9409e-01, -1.6440e-01, -3.3558e-01,
         -9.0045e-02,  0.0000e+00, -1.0885e-01, -1.0101e-01, -9.8096e-02,
         -9.9408e-02, -1.0131e-01, -8.3444e-02, -7.6276e-02, -7.8031e-02,
         -8.2549e-02, -9.9781e-02, -1.0706e-01, -1.1367e-01, -1.3344e-01,
         -1.3204e-01, -1.2830e-01, -1.2029e-01, -1.1616e-01, -1.0145e-01,
         -9.8442e-02, -6.3251e-02]])",['model.layers.12'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[ 0.0074,  0.0156,  0.0602,  0.0765,  0.0883,  0.0640,  0.0596, -0.0242,
          0.0000,  0.0529,  0.0328,  0.0351,  0.0170, -0.0103, -0.0092, -0.0094,
         -0.0074, -0.0074, -0.0072, -0.0064, -0.0036, -0.0056, -0.0061, -0.0075,
         -0.0020, -0.0051,  0.0004,  0.0047,  0.0132,  0.0251,  0.0285,  0.0338]])",['model.layers.13'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[-0.0134,  0.0028,  0.0188,  0.0214,  0.0243,  0.0259,  0.0234,  0.0180,
          0.0222,  0.0221,  0.0189,  0.0190,  0.0251,  0.0698,  0.0702,  0.0703,
          0.0704,  0.0704,  0.0703,  0.0705,  0.0706,  0.0695,  0.0687,  0.0657,
          0.0621,  0.0561,  0.0524,  0.0470,  0.0396, -0.0074, -0.0002,  0.0178]])",['model.layers.14'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[ 5.6524e-03,  1.8166e-02,  1.4303e-02,  1.5515e-02,  1.4240e-02,
          1.5842e-02,  1.1736e-02,  2.5280e-03, -3.8220e-03,  2.5152e-03,
          9.2365e-03,  8.4244e-03,  5.7292e-03,  7.7247e-04, -6.2809e-05,
          5.5807e-03, -1.7090e-03,  4.6542e-04,  5.9013e-03, -4.1247e-04,
          3.6440e-04,  4.1021e-03,  9.5289e-03,  1.4913e-02,  1.0862e-02,
          1.6900e-02,  1.8949e-02,  1.6119e-02,  1.6121e-02,  1.8017e-02,
          1.5544e-02,  4.9613e-04]])",['model.layers.15'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[ 0.0297, -0.0185, -0.1481, -0.1463, -0.1413, -0.1368, -0.1200,  0.0197,
         -0.0079,  0.0081, -0.0140,  0.0094,  0.0216,  0.0595,  0.0718,  0.0702,
          0.0776,  0.0753,  0.0702,  0.0557,  0.0436,  0.0409,  0.0408,  0.0420,
          0.0351,  0.0417,  0.0338,  0.0389,  0.0356,  0.0424,  0.0388,  0.0484]])",['model.layers.16'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[ 0.0500,  0.0225, -0.0209, -0.0196, -0.0386, -0.0060, -0.0347,  0.0386,
          0.0410,  0.0292,  0.0313,  0.0404,  0.0428,  0.0287,  0.0287,  0.0287,
          0.0287,  0.0289,  0.0294,  0.0302,  0.0314,  0.0339,  0.0376,  0.0424,
          0.0504,  0.0569,  0.0609,  0.0652,  0.0686,  0.0748,  0.0721,  0.0465]])",['model.layers.17'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[-0.1230, -0.0820,  0.0002, -0.0026, -0.0169, -0.0180, -0.0268, -0.0865,
         -0.0477, -0.0599, -0.0694, -0.0650, -0.0577,  0.0139,  0.0136,  0.0135,
          0.0133,  0.0128,  0.0119,  0.0116,  0.0095,  0.0071,  0.0020, -0.0037,
         -0.0116, -0.0203, -0.0256, -0.0320, -0.0382, -0.0796, -0.0716, -0.0416]])",['model.layers.18'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[5.4522e-02, 3.4243e-02, 8.8354e-02, 8.7873e-02, 1.0404e-01, 9.0811e-02,
         1.0990e-01, 1.0361e-02, 1.6382e-02, 4.5437e-02, 4.6474e-02, 2.9980e-02,
         4.0992e-02, 3.0248e-03, 2.1998e-09, 2.1017e-02, 3.1708e-02, 4.1882e-02,
         5.2159e-02, 5.5249e-02, 6.0229e-02, 6.7426e-02, 7.3428e-02, 7.8376e-02,
         8.1323e-02, 9.7129e-02, 1.0038e-01, 9.9691e-02, 9.4093e-02, 8.0225e-02,
         7.5634e-02, 8.4471e-02]])",['model.layers.19'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[-0.0446, -0.0749, -0.0367, -0.0408, -0.0471, -0.0693, -0.0730, -0.0675,
         -0.0783, -0.0812, -0.1058, -0.1025, -0.0962, -0.0761, -0.0748, -0.0832,
         -0.0880, -0.0898, -0.0875, -0.0882, -0.0801, -0.0828, -0.0801, -0.0757,
         -0.0744, -0.0769, -0.0756, -0.0743, -0.0802, -0.0753, -0.0785, -0.0743]])",['model.layers.20'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[-0.0269, -0.0814, -0.0729, -0.0745, -0.0846, -0.0903, -0.0754, -0.0375,
         -0.0501, -0.0431, -0.0401, -0.0440, -0.0353, -0.0304, -0.0341, -0.0347,
         -0.0376, -0.0374, -0.0278, -0.0193, -0.0247, -0.0130, -0.0156, -0.0034,
         -0.0149, -0.0020, -0.0051, -0.0032, -0.0069, -0.0097, -0.0121, -0.0086]])",['model.layers.21'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[-0.0500, -0.0068,  0.0744,  0.0759,  0.0806,  0.0612,  0.0588,  0.0108,
          0.0070, -0.0049, -0.0085,  0.0015, -0.0065, -0.0461, -0.0462, -0.0461,
         -0.0465, -0.0461, -0.0461, -0.0463, -0.0461, -0.0448, -0.0422, -0.0395,
         -0.0343, -0.0304, -0.0293, -0.0276, -0.0248,  0.0096,  0.0050, -0.0127]])",['model.layers.22'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[-0.0536, -0.0283,  0.0585,  0.0585,  0.0583,  0.0506,  0.0383, -0.1180,
         -0.0755, -0.0797, -0.0734, -0.0731, -0.0688,  0.0090, -0.0119, -0.0023,
         -0.0279, -0.0319, -0.0362, -0.0433, -0.0506, -0.0493, -0.0517, -0.0473,
         -0.0467, -0.0473, -0.0524, -0.0504, -0.0545, -0.0346, -0.0403, -0.0489]])",['model.layers.23'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[ 0.1334,  0.1093, -0.0234, -0.0208, -0.0030,  0.0039,  0.0577,  0.2814,
          0.1764,  0.2108,  0.2030,  0.1957,  0.1933, -0.0162, -0.0153, -0.0147,
         -0.0132, -0.0117, -0.0097, -0.0064, -0.0008,  0.0026,  0.0114,  0.0172,
          0.0284,  0.0396,  0.0547,  0.0680,  0.0890,  0.1803,  0.1852,  0.1846]])",['model.layers.24'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[ 0.0242,  0.0401, -0.0377, -0.0341, -0.0297, -0.0021,  0.0081,  0.1409,
          0.1283,  0.1261,  0.1167,  0.1193,  0.1148, -0.0579, -0.0574, -0.0572,
         -0.0565, -0.0561, -0.0560, -0.0537, -0.0503, -0.0494, -0.0445, -0.0419,
         -0.0369, -0.0320, -0.0206, -0.0118,  0.0075,  0.0951,  0.1110,  0.1299]])",['model.layers.25'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[-0.0301, -0.0139, -0.0317, -0.0280, -0.0266, -0.0288, -0.0291,  0.0133,
          0.0261,  0.0291,  0.0244,  0.0372,  0.0443,  0.0452,  0.0455,  0.0457,
          0.0463,  0.0466,  0.0468,  0.0478,  0.0493,  0.0483,  0.0476,  0.0466,
          0.0447,  0.0433,  0.0429,  0.0403,  0.0416,  0.0161,  0.0229,  0.0420]])",['model.layers.26'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
