layer:model.layers.0,layer:model.layers.1,layer:model.layers.2,layer:model.layers.3,layer:model.layers.4,layer:model.layers.5,layer:model.layers.6,layer:model.layers.7,layer:model.layers.8,layer:model.layers.9,layer:model.layers.10,layer:model.layers.11,layer:model.layers.12,layer:model.layers.13,layer:model.layers.14,layer:model.layers.15,layer:model.layers.16,layer:model.layers.17,layer:model.layers.18,layer:model.layers.19,layer:model.layers.20,layer:model.layers.21,layer:model.layers.22,layer:model.layers.23,layer:model.layers.24,layer:model.layers.25,layer:model.layers.26,layer:model.layers.27,layer:model.layers.28,layer:model.layers.29,layer:model.layers.30,layer:model.layers.31
,,,,,,,,,,"tensor([[ 0.0873,  0.0826, -0.1406, -0.1374, -0.1267, -0.1172, -0.1079,  0.7465,
          0.7244,  0.9280,  0.9866,  0.9475,  0.8561,  0.1238,  0.1263,  0.1281,
          0.1304,  0.1310,  0.1339,  0.1366,  0.1401,  0.1414,  0.1446,  0.1478,
          0.1514,  0.1562,  0.1607,  0.1645,  0.1720,  0.2030,  0.1966,  0.1438]])",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"tensor([[ 0.0946,  0.0851, -0.1126, -0.1089, -0.0982, -0.0901, -0.0843,  0.6697,
          0.6105,  0.8684,  0.9289,  0.9807,  0.8948,  0.1419,  0.1451,  0.1476,
          0.1504,  0.1514,  0.1552,  0.1590,  0.1636,  0.1649,  0.1694,  0.1738,
          0.1788,  0.1868,  0.1926,  0.1975,  0.2078,  0.2375,  0.2265,  0.1652]])",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"tensor([[ 0.0828,  0.0642, -0.0754, -0.0719, -0.0622, -0.0552, -0.0498,  0.5913,
          0.5416,  0.8037,  0.8389,  0.8754,  0.9654,  0.4614,  0.4655,  0.4680,
          0.4707,  0.4716,  0.4755,  0.4798,  0.4847,  0.4860,  0.4903,  0.4944,
          0.4978,  0.5066,  0.5096,  0.5098,  0.5108,  0.3060,  0.2551,  0.1579]])",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"tensor([[ 2.2632e-03,  4.9920e-04, -8.7661e-04, -6.1210e-04,  3.8696e-05,
          5.3420e-04,  1.4475e-03,  1.0817e-02,  1.5017e-02,  2.6593e-02,
          3.2955e-02,  3.4236e-02,  1.3828e-01,  7.4517e-01,  7.4537e-01,
          7.4540e-01,  7.4538e-01,  7.4548e-01,  7.4541e-01,  7.4545e-01,
          7.4484e-01,  7.4440e-01,  7.4289e-01,  7.4130e-01,  7.3822e-01,
          7.3082e-01,  7.2249e-01,  7.0931e-01,  6.8656e-01,  1.2036e-01,
          6.0437e-02,  4.2573e-03]])",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"tensor([[ 3.0146e-03,  1.9057e-03, -2.2656e-03, -1.7513e-03, -1.1721e-03,
         -7.4509e-04, -8.7279e-05,  6.9599e-02,  9.3003e-02,  1.4641e-01,
          1.3078e-01,  1.1711e-01,  3.4418e-01,  8.5227e-01,  8.5238e-01,
          8.5239e-01,  8.5240e-01,  8.5240e-01,  8.5239e-01,  8.5227e-01,
          8.5210e-01,  8.5192e-01,  8.5135e-01,  8.5070e-01,  8.4935e-01,
          8.4620e-01,  8.4310e-01,  8.3766e-01,  8.2906e-01,  2.4265e-01,
          1.3193e-01,  4.3573e-03]])",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"tensor([[ 4.0597e-03,  2.5967e-03, -2.6312e-03, -2.1446e-03, -1.5488e-03,
         -1.3914e-03, -4.7223e-04,  5.5613e-02,  7.5136e-02,  1.1037e-01,
          1.2167e-01,  1.1378e-01,  3.0427e-01,  6.8104e-01,  6.8273e-01,
          6.8286e-01,  6.8230e-01,  6.8189e-01,  6.8185e-01,  6.8258e-01,
          6.8239e-01,  6.8215e-01,  6.8115e-01,  6.8049e-01,  6.7839e-01,
          6.8311e-01,  6.7625e-01,  6.6438e-01,  6.4628e-01,  1.9195e-01,
          1.0118e-01,  5.1509e-03]])",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"tensor([[ 0.0050,  0.0047, -0.0031, -0.0028, -0.0022, -0.0019, -0.0012,  0.0524,
          0.0727,  0.1093,  0.1026,  0.1061,  0.2771,  0.6355,  0.6360,  0.6361,
          0.6362,  0.6365,  0.6365,  0.6365,  0.6362,  0.6355,  0.6334,  0.6310,
          0.6260,  0.6143,  0.6020,  0.5841,  0.5562,  0.0857,  0.0488,  0.0105]])",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"tensor([[ 6.0714e-03,  4.9855e-03, -2.7792e-03, -2.3723e-03, -1.7465e-03,
         -1.4108e-03, -3.4474e-04,  7.5627e-02,  9.1052e-02,  1.1580e-01,
          1.1090e-01,  1.0845e-01,  3.8270e-01,  9.9452e-01,  9.9476e-01,
          9.9487e-01,  9.9493e-01,  9.9495e-01,  9.9493e-01,  9.9479e-01,
          9.9442e-01,  9.9393e-01,  9.9265e-01,  9.9104e-01,  9.8687e-01,
          9.7929e-01,  9.7142e-01,  9.5813e-01,  9.3679e-01,  1.9529e-01,
          1.0286e-01,  1.0298e-02]])",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"tensor([[ 3.9727e-03,  2.9254e-03, -1.8728e-03, -1.4204e-03, -1.2338e-03,
         -9.8505e-04, -3.8035e-04,  7.4823e-03,  1.4163e-02,  2.6591e-02,
          2.9951e-02,  3.0406e-02,  1.2048e-01,  5.3618e-01,  5.3657e-01,
          5.3670e-01,  5.3691e-01,  5.3731e-01,  5.3756e-01,  5.3797e-01,
          5.3820e-01,  5.3828e-01,  5.3805e-01,  5.3803e-01,  5.3843e-01,
          5.3557e-01,  5.3300e-01,  5.2878e-01,  5.2194e-01,  1.2479e-01,
          7.3118e-02,  7.9418e-03]])",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"tensor([[0.0070, 0.0060, 0.0071, 0.0074, 0.0144, 0.0149, 0.0157, 0.0440, 0.0478,
         0.0564, 0.0624, 0.0655, 0.1336, 0.4497, 0.4498, 0.4499, 0.4503, 0.4505,
         0.4509, 0.4514, 0.4516, 0.4518, 0.4515, 0.4514, 0.4513, 0.4488, 0.4456,
         0.4399, 0.4324, 0.1007, 0.0616, 0.0135]])",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"tensor([[ 1.0703e-02,  9.5311e-03, -2.6241e-03, -2.0853e-03, -1.5630e-03,
         -8.4348e-04,  1.9005e-04,  7.5095e-02,  8.0236e-02,  1.1360e-01,
          1.1409e-01,  1.3361e-01,  3.4191e-01,  6.2733e-01,  6.2844e-01,
          6.2885e-01,  6.2925e-01,  6.2934e-01,  6.2995e-01,  6.3062e-01,
          6.3114e-01,  6.3133e-01,  6.3109e-01,  6.3077e-01,  6.3034e-01,
          6.2839e-01,  6.2355e-01,  6.1586e-01,  6.0364e-01,  1.7051e-01,
          1.0087e-01,  2.2909e-02]])",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"tensor([[ 9.7354e-03,  8.5888e-03, -1.9873e-03, -1.4479e-03, -1.1538e-03,
         -8.2988e-04,  2.6800e-05,  5.6689e-02,  7.7253e-02,  1.0940e-01,
          1.1885e-01,  1.0930e-01,  2.9249e-01,  7.9857e-01,  7.9886e-01,
          7.9903e-01,  7.9913e-01,  7.9928e-01,  7.9951e-01,  7.9967e-01,
          7.9983e-01,  8.0000e-01,  7.9981e-01,  7.9945e-01,  7.9876e-01,
          7.9611e-01,  7.9348e-01,  7.8877e-01,  7.8175e-01,  2.4587e-01,
          1.3502e-01,  1.6658e-02]])",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"tensor([[ 1.2532e-02,  1.2992e-02, -1.8890e-03, -1.3488e-03, -7.6770e-04,
         -2.8425e-04,  8.0699e-04,  6.0936e-02,  6.9096e-02,  9.7165e-02,
          1.0618e-01,  9.6165e-02,  2.2920e-01,  6.5332e-01,  6.5473e-01,
          6.5491e-01,  6.5469e-01,  6.5457e-01,  6.5474e-01,  6.5519e-01,
          6.5561e-01,  6.5596e-01,  6.5618e-01,  6.5652e-01,  6.5642e-01,
          6.6133e-01,  6.5877e-01,  6.5456e-01,  6.4591e-01,  2.2921e-01,
          1.3704e-01,  2.4621e-02]])",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"tensor([[ 3.3535e-02,  3.2686e-02, -3.7238e-03, -2.9985e-03, -2.0347e-03,
         -1.3904e-03, -4.3288e-04,  1.1574e-01,  1.4801e-01,  2.0408e-01,
          1.7052e-01,  1.6933e-01,  3.5097e-01,  7.5273e-01,  7.5353e-01,
          7.5388e-01,  7.5447e-01,  7.5503e-01,  7.5597e-01,  7.5727e-01,
          7.5875e-01,  7.5959e-01,  7.6076e-01,  7.6114e-01,  7.5949e-01,
          7.5414e-01,  7.4664e-01,  7.3213e-01,  7.0742e-01,  2.0496e-01,
          1.4834e-01,  7.6779e-02]])",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"tensor([[ 2.3756e-02,  2.5114e-02, -2.1447e-03, -1.5476e-03, -9.4388e-04,
         -4.4901e-04,  9.0746e-04,  7.0075e-02,  9.0675e-02,  1.2579e-01,
          1.3109e-01,  1.2477e-01,  3.1253e-01,  7.9797e-01,  7.9925e-01,
          7.9948e-01,  7.9938e-01,  7.9935e-01,  7.9974e-01,  8.0056e-01,
          8.0126e-01,  8.0182e-01,  8.0254e-01,  8.0332e-01,  8.0350e-01,
          8.0855e-01,  8.0623e-01,  8.0112e-01,  7.9171e-01,  2.9802e-01,
          1.8239e-01,  5.2236e-02]])",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"tensor([[ 3.1617e-02,  3.4560e-02, -2.1661e-03, -1.5751e-03, -9.7887e-04,
         -2.7778e-04,  8.5989e-04,  8.7369e-02,  1.1363e-01,  1.6536e-01,
          1.4092e-01,  1.2418e-01,  2.5448e-01,  5.5455e-01,  5.5507e-01,
          5.5534e-01,  5.5573e-01,  5.5603e-01,  5.5664e-01,  5.5756e-01,
          5.5867e-01,  5.5956e-01,  5.6100e-01,  5.6242e-01,  5.6458e-01,
          5.6756e-01,  5.6781e-01,  5.6660e-01,  5.6313e-01,  2.3221e-01,
          1.6246e-01,  7.8577e-02]])",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"tensor([[ 5.2239e-02,  5.5541e-02, -2.8009e-03, -2.1436e-03, -1.5183e-03,
         -6.9540e-04,  6.3035e-04,  9.0021e-02,  1.1929e-01,  1.7227e-01,
          1.6348e-01,  1.6033e-01,  4.1574e-01,  9.7524e-01,  9.7643e-01,
          9.7680e-01,  9.7707e-01,  9.7738e-01,  9.7813e-01,  9.7943e-01,
          9.8111e-01,  9.8246e-01,  9.8489e-01,  9.8695e-01,  9.8888e-01,
          9.9320e-01,  9.9205e-01,  9.8768e-01,  9.7625e-01,  3.6804e-01,
          2.6096e-01,  1.2491e-01]])",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"tensor([[ 3.1984e-02,  3.6189e-02, -2.5068e-03, -1.9615e-03, -1.3320e-03,
         -7.4163e-04,  4.7565e-04,  6.5627e-02,  9.0227e-02,  1.3936e-01,
          1.3303e-01,  1.4438e-01,  3.9967e-01,  8.4289e-01,  8.4375e-01,
          8.4397e-01,  8.4402e-01,  8.4419e-01,  8.4456e-01,  8.4528e-01,
          8.4615e-01,  8.4684e-01,  8.4801e-01,  8.4940e-01,  8.5129e-01,
          8.5523e-01,  8.5549e-01,  8.5530e-01,  8.5221e-01,  3.5881e-01,
          2.5050e-01,  8.6113e-02]])",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tensor([[ 7.1623e-02,  8.2984e-02, -2.5310e-03, -1.8425e-03, -1.1164e-03,
         -1.5028e-04,  1.4810e-03,  1.1303e-01,  1.5064e-01,  1.9136e-01,
          1.6335e-01,  1.4944e-01,  3.2255e-01,  4.8563e-01,  4.8622e-01,
          4.8659e-01,  4.8730e-01,  4.8796e-01,  4.8924e-01,  4.9135e-01,
          4.9415e-01,  4.9658e-01,  5.0147e-01,  5.0624e-01,  5.1425e-01,
          5.2468e-01,  5.3126e-01,  5.3896e-01,  5.4768e-01,  3.6883e-01,
          3.2096e-01,  2.1426e-01]])",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tensor([[1.7543e-01, 2.0398e-01, 6.1982e-05, 1.2637e-03, 2.0514e-03, 3.8962e-03,
         7.4208e-03, 1.6981e-01, 2.1876e-01, 2.2193e-01, 1.8820e-01, 2.0186e-01,
         2.6576e-01, 1.9122e-01, 1.9430e-01, 1.9522e-01, 1.9650e-01, 1.9745e-01,
         1.9968e-01, 2.0475e-01, 2.1192e-01, 2.1718e-01, 2.2901e-01, 2.4095e-01,
         2.5965e-01, 2.9891e-01, 3.2111e-01, 3.4970e-01, 3.8665e-01, 7.3011e-01,
         6.9960e-01, 5.4385e-01]])",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tensor([[2.4121e-01, 3.0431e-01, 8.6821e-04, 2.4070e-03, 3.3715e-03, 5.6875e-03,
         1.0453e-02, 2.0664e-01, 2.6393e-01, 2.4907e-01, 2.1024e-01, 2.2672e-01,
         2.8002e-01, 1.8118e-01, 1.8475e-01, 1.8574e-01, 1.8735e-01, 1.8864e-01,
         1.9141e-01, 1.9788e-01, 2.0788e-01, 2.1503e-01, 2.3162e-01, 2.4752e-01,
         2.7198e-01, 3.1201e-01, 3.4337e-01, 3.8603e-01, 4.4032e-01, 9.0559e-01,
         9.1966e-01, 8.0214e-01]])",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tensor([[0.1935, 0.2349, 0.0016, 0.0026, 0.0031, 0.0049, 0.0089, 0.1475, 0.2046,
         0.1687, 0.1409, 0.1624, 0.1637, 0.0046, 0.0053, 0.0057, 0.0072, 0.0086,
         0.0103, 0.0143, 0.0210, 0.0254, 0.0362, 0.0455, 0.0606, 0.0779, 0.1011,
         0.1321, 0.1738, 0.6477, 0.8116, 0.9655]])"
